,ap1,ap2,ap3,ap4,ap5,ap6,x,y
0,-45.80253241577957,-56.31237030047597,-59.74361675084481,-55.06276466814329,-57.924762901285504,-55.990554518506755,245,658
1,-52.844654647369396,-53.23034645534826,-60.26519728310693,-55.78879936757298,-52.92420904331061,-56.65623678521299,1271,512
2,-61.87840124650728,-52.327401642892106,-69.14181376305295,-62.35803789847813,-49.03425221766313,-18.47458646446854,1904,1413
3,-60.82696349646865,-54.319598536296255,-60.82541051059016,-60.04264200926498,-50.36563071330601,-53.03596473975662,1295,817
4,-56.94596093602141,-61.983196754805675,-51.92624910974529,-54.02169913475973,-58.947669994873415,-46.92390847070682,1704,937
5,-52.82476867071361,-47.6306965735862,-53.29217899894363,-54.4571966158621,-55.70104104224807,-50.74275754136508,646,553
6,-56.23944258529602,-56.55226479062292,-69.87810356692825,-54.01825480775729,-54.455441147297904,-56.08741634720665,1084,776
7,-50.31711626850425,-48.127021320845316,-77.33115030522887,-50.246645650567025,-49.182841392849085,-65.81085084067516,822,757
8,-49.21936253138318,-51.728358748559586,-61.435380255651125,-51.9451933424085,-58.2096505182141,-54.520678997524776,681,618
9,-58.29980481089407,-53.09674511667592,-49.201169224891615,-57.64884793540517,-58.113431933243696,-51.729844201947586,1699,689
10,-58.50841464323029,-51.084121016319315,-62.46987150914937,-48.44160046473988,-48.29731408310281,-70.39887085321114,752,930
11,-58.710975531943674,-53.8869371465811,-55.2432474416912,-52.08283016284171,-54.962219587349345,-56.53883426752148,950,761
12,-59.88334466602706,-44.32318295025644,-48.07688478366387,-60.117395890441145,-55.927663999559925,-58.98522472138245,1471,77
13,-54.24821643071007,-57.98264567792776,-46.15783252424994,-63.26428139684647,-51.16380119436792,-60.80279268820688,1741,367
14,-55.45845125677723,-51.23711948523747,-44.0255388625436,-56.621814824303335,-55.1003679584244,-50.655646017967946,1627,131
15,-65.56405846625235,-40.85247678975949,-48.190468200084055,-54.102321115643505,-57.41154777917086,-51.875964315722754,1168,281
16,-54.04480157004075,-59.543919174478965,-56.33242833398132,-46.3905286830332,-56.874770633018784,-54.23005854672161,9,952
17,-57.809714768768444,-53.58976212621656,-46.478331053494976,-59.854458772815576,-52.61679730323907,-54.61371815157969,1647,513
18,-61.653923863851404,-40.76676392984831,-59.34718313752474,-55.21436517948744,-57.654156127863956,-55.79946286513299,1272,83
19,-57.564326573809836,-59.535047188552696,-52.28039600223839,-71.54401911918976,-49.714257685666595,-54.42404156089324,1063,1032
20,-57.073702825660206,-56.210757556585335,-61.843673434617685,-56.71608956925872,-47.77623421004567,-49.6984352160227,1581,1133
21,-51.081878324271315,-43.78025823573062,-51.31068833397548,-59.408498362720046,-55.84747333515989,-56.19205570780536,839,375
22,-58.95822395326967,-61.9678250043125,-55.50728825960703,-63.37440747068969,-54.75118851750956,-60.696953369727154,1907,602
23,-70.32131269641941,-51.27231122513887,-67.49526694913372,-36.469543756015796,-58.208632915841534,-65.15059315553393,6,1489
24,-55.24963385670687,-58.37834740385449,-51.40583942720255,-68.17358287791217,-52.40371324164238,-44.34687204266726,1570,1311
25,-56.603717799617364,-51.52724460252425,-57.89333232669553,-50.18301489448461,-51.196412009154024,-57.08368650022276,449,671
26,-60.418155856326734,-42.768780075757306,-47.22429178508145,-55.33500613666473,-52.91620642992807,-57.169028426995155,1417,11
27,-59.744334580418666,-58.67414235182805,-53.06792072749338,-66.50932311349008,-40.93278034711864,-57.55158352384186,839,1355
28,-55.12063433878683,-50.34391686560318,-56.341065393138095,-53.05020414064246,-55.73432738261228,-60.07321742600857,549,114
29,-54.01806352567395,-50.628608746410606,-57.57374088326706,-84.6117504852228,-55.43585979063087,-62.95297981428561,494,550
30,-64.71878532231214,-57.43898244668447,-63.67017860342581,-36.678650169201894,-54.83162138836808,-55.551936002584334,153,1241
31,-58.02817066776935,-50.13774159787894,-74.82025218530185,-59.64521305079632,-53.09387741205276,-52.588070483947654,749,771
32,-53.58487557162968,-48.465849786885556,-59.81972238229331,-51.206465574676024,-54.747810116170655,-58.39624355105323,725,72
33,-53.82699294970591,-41.79413580375348,-58.64535574459694,-52.919508993678804,-60.148821880604245,-54.440832440037596,830,296
34,-54.13472233112759,-65.5179548389198,-54.4102929981583,-54.65061916167251,-40.53614872439064,-49.88186042897196,1089,1155
35,-57.31872144300355,-49.61805715624065,-36.66566299588151,-60.94983263008538,-60.48430681328445,-74.53244180150314,1749,169
36,-43.19241698437416,-50.47950665860766,-53.5900905581409,-60.16635892139239,-64.59803785214616,-59.74448458784154,286,267
37,-60.16163654205215,-59.901134081068236,-59.537393934557194,-53.21335683713321,-54.03044146564335,-45.63396408378199,1477,1371
38,-59.285751424078164,-57.94513461430939,-53.303542937870546,-60.616628335663464,-43.62192574825673,-51.71764093435446,1223,1356
39,-50.85996649063645,-39.75287219780626,-58.03223408169795,-57.69480316372672,-75.29702265586296,-54.439759115699516,782,70
40,-53.59413318217762,-44.93330952679622,-52.51763824393685,-60.77342455313152,-51.300763317698596,-54.58998131303125,1424,36
41,-55.96281054511618,-70.40153254230866,-60.27059396659055,-56.43525902000636,-41.32921345013736,-50.10146440119708,1121,1213
42,-61.641876837291676,-54.46928626524647,-54.738445177220655,-57.32347619961444,-46.56363072397178,-56.75079326331364,1550,1476
43,-63.696839762907786,-57.86464921583874,-56.403235675606695,-54.14665449259489,-49.020824630563155,-68.72873521400268,631,890
44,-59.82979788035634,-44.61746595795992,-57.83544753261809,-61.98602172549714,-55.53576845625259,-55.29133216725783,626,142
45,-58.562562623189514,-54.20022246729377,-57.837088997309046,-47.63719385681843,-59.77647709511851,-55.362719863853755,324,1365
46,-60.44500298136023,-52.890978110741784,-59.778910528518296,-46.48382160065607,-48.2163959371825,-64.67130100441786,456,1221
47,-51.35457791719815,-53.945153356482834,-60.4279573749392,-48.689620438734956,-44.426942321749806,-55.035379468855325,714,1395
48,-60.59978310648022,-51.07891561751981,-52.327049280376684,-61.259967563815096,-49.355543170019864,-52.19426641044993,810,668
49,-72.57747246310818,-43.70256522931822,-48.360058942298295,-60.54710429463664,-54.109782523440785,-55.474089146403365,1418,8
50,-53.84974979531784,-52.30263519667031,-53.974756186927245,-55.902422426850045,-50.94622484741255,-60.17906359028244,1341,43
51,-48.35628084622176,-56.94138799935686,-55.10441236248079,-56.40264488704956,-56.756657431278754,-55.967952462515164,409,354
52,-51.577142908910936,-53.67522837957814,-56.411536776279625,-42.52652432795525,-46.99020751810604,-62.29794901475461,384,1317
53,-54.63343402125507,-57.12766756062911,-53.60855298079954,-59.974656108812155,-47.97554316682073,-38.963561404319044,1789,1270
54,-54.319746006068215,-46.99008902249132,-50.8204445488939,-54.48714898480738,-57.05315220937631,-51.254733401406405,1355,354
55,-46.57055600056449,-48.018535255533266,-60.80642822943669,-58.20330680139578,-54.03356785985588,-53.05549343134317,552,453
56,-54.95329437540798,-67.97930738846638,-33.108885084448005,-61.643454963737426,-50.969723265530845,-54.35099067306817,1942,55
57,-63.7675521532133,-50.460725772633445,-57.0051697917433,-53.892772096284666,-51.00904428107626,-52.82801993658846,865,862
58,-55.1246565958651,-52.99885697985335,-59.089536103864695,-57.33553142747919,-60.4255832591263,-58.08310866552233,1539,505
59,-56.295240202854096,-55.243267408508146,-48.407945214574625,-56.66671345359214,-62.680672713365595,-50.70570959300329,1985,725
60,-53.596327350636734,-46.05890391887585,-46.67023775140686,-55.581917932728786,-62.92262762056302,-54.26823461191624,1378,396
61,-62.68230341753271,-66.29591344665988,-59.10459832403099,-38.64072185754008,-55.320910035507254,-59.508857022248876,77,1258
62,-58.7527802477377,-57.76965008340723,-54.84299033523428,-58.29488704374629,-51.62658969196699,-49.6306710605385,1822,808
63,-52.565602183068336,-55.65578368673548,-56.67158730506494,-48.02798659978816,-47.005981804452794,-55.24847425910832,973,1177
64,-59.59972020966816,-54.05054304340443,-54.48656952613212,-47.91512142756537,-40.81572408696685,-54.70775671659755,686,1446
65,-58.60831000840341,-58.274517097818226,-56.320045242023625,-59.188949849866965,-52.82529872312981,-49.26953631597418,1479,962
66,-55.888676852237964,-60.80370665101414,-61.77441825019635,-50.24556716154771,-47.964082039995766,-57.80369907956795,671,1275
67,-58.463998444547876,-56.64492548137849,-57.407060356722646,-47.02488118292705,-48.31121022753816,-65.46819536191433,548,1049
68,-55.72876287012332,-53.86783023870143,-60.17831396961368,-44.370532474750405,-50.43766456042073,-54.10233205142639,374,1054
69,-54.453669957433426,-47.02989120878576,-58.544173746288244,-56.79989096646075,-53.837607929056304,-55.76389925782853,1234,516
70,-50.65018501907736,-50.16417046642755,-57.64714643763114,-53.4028516983805,-53.167950217022415,-62.04197679385162,1520,439
71,-48.5772443452414,-52.719622476616635,-67.32549385441047,-56.97829058961531,-56.590532186239216,-57.338192911355236,476,5
72,-51.241179076294934,-55.667270577305516,-55.950208089751655,-50.82443636282402,-24.046992387349384,-50.586424400246386,979,1416
73,-55.87140465472615,-55.37792246141521,-52.88681151957519,-60.90853836112706,-51.45244669211954,-49.29468653354661,1364,1154
74,-53.72461614792714,-53.67949063908032,-65.87491376697525,-53.84095624681745,-52.67789368675801,-58.93010293317819,718,804
75,-55.074817771115974,-53.06011466544597,-53.762194109638756,-52.98361647809621,-42.42643089348843,-50.51637160902488,1265,1300
76,-49.332229676520924,-55.48410782043317,-55.726825787251926,-49.47935859192509,-52.18929759245512,-58.58795537932916,331,981
77,-41.196853548620936,-51.50095415280347,-53.72072993835708,-54.83856302446018,-55.31421826021388,-64.08281283423976,314,142
78,-56.18137092634937,-47.85623481078983,-47.80224458343022,-62.26204659783488,-56.27852646886788,-55.436264926843734,1656,150
79,-42.3014549230317,-50.66328606870709,-65.65292770287618,-56.1661292500127,-54.87654249704158,-56.0344673085364,275,108
80,-66.84152610610595,-54.26968159468409,-68.1878856365576,-59.1609594161564,-54.5237546575786,-50.61586386548339,1288,80
81,-56.548403360387894,-52.20031244869035,-63.45770080451253,-67.40070458864535,-53.72010567508497,-25.701381833511892,1914,1370
82,-64.71710665384718,-59.817691375341965,-63.02950087883359,-66.39418314187874,-51.323260452936,-33.501828757751284,1835,1406
83,-54.21092983977622,-42.08903468044525,-61.26882281571373,-52.7300187255353,-56.283775375014436,-57.491883972818684,693,167
84,-52.89806418495901,-48.39530826900621,-49.12272867137734,-53.93175933878127,-55.062909721361144,-48.45374308227857,1625,539
85,-55.015077897599234,-60.957592922633054,-59.92195361454057,-59.07324258686184,-48.578419413270254,-55.617711561655824,1140,1142
86,-53.65654845622454,-49.76211150594223,-58.974973899107596,-51.40494083939225,-52.99665100196237,-56.594960536035956,734,828
87,-52.22985707870699,-52.46011254571507,-45.27335914604437,-55.52779355444968,-63.45866885760661,-50.16461613896723,1643,579
88,-51.14582203445379,-40.01330632827343,-52.747996911562026,-56.76635557923522,-63.228464052235765,-54.73935100345828,1060,290
89,-51.70350093377895,-51.92652746365922,-53.9633477729761,-60.805103157854305,-49.38015090922199,-63.74823235640933,771,726
90,-56.476527898818716,-61.21579716428178,-55.070467836481505,-60.398516542693855,-52.958266973738574,-58.993037433441096,744,733
91,-59.147911426917844,-56.68793931054968,-55.62453179427129,-59.95896971513204,-49.501326122949145,-46.172089268684566,1525,1332
92,-58.5401117615589,-58.80751847165854,-58.009055028322926,-67.41079348213171,-57.714700389646254,-40.64163295639883,1692,1314
