,ap1,ap2,ap3,ap4,ap5,ap6,x,y
0,1700,1300,-60.689966512927825,-55.367490512889006,-55.80551669286007,-65.62891592745147,-47.89188136411554,-49.22664562320705
1,1734,1246,-54.32778466497773,-56.22854137032605,-53.401453804476034,-52.269783459123154,-56.58593056792321,-44.493920463677384
2,1771,1193,-55.27349222319752,-52.902077033662856,-59.66938791328448,-64.24840661239695,-56.09235324253277,-39.9460696702247
3,1823,1155,-61.38817707745095,-56.74229573288456,-56.75190688164356,-59.474999296766704,-54.06393149404373,-44.3942728738375
4,1872,1113,-60.71622120635614,-53.48061212522602,-60.47116832576775,-53.83070701392734,-49.04135251764116,-47.44998009025855
5,1845,1054,-54.67573328430498,-55.34877020035144,-53.18160821125165,-59.18489355359735,-48.3909195915183,-44.812942566517776
6,1836,991,-59.637535480231435,-59.09587398926598,-60.32336554001405,-52.325288750901954,-51.75356228721235,-49.28947471392338
7,1838,927,-53.80493040296308,-61.08997036533195,-64.88352655700614,-58.87176411938852,-61.23869091032306,-55.50274402031442
8,1827,863,-59.233122144958244,-59.87789593569502,-49.68176039316778,-54.12176192618894,-54.58835376769792,-52.21431693700055
9,1808,802,-58.6791247394798,-58.51279441124608,-53.8445262365552,-56.605778058742764,-51.00731332645778,-51.79744428750888
10,1788,741,-58.15166211302952,-57.30347345524474,-56.78821732308443,-60.24188789619109,-57.78792656263124,-55.157536284740004
11,1756,685,-58.049641039683365,-53.26595568004663,-54.80954045611512,-61.19024905564024,-53.88304045239189,-58.99355120872501
12,1710,641,-61.58050655477314,-51.1416569978916,-45.34020973768988,-54.03347332648454,-56.18592203080475,-47.82270745238792
13,1674,587,-52.68077192649387,-48.88456234555381,-52.16058165430375,-63.117771042991805,-64.16766437778952,-53.06456768706266
14,1648,529,-59.30844312517056,-51.176662642827694,-50.80470958245438,-58.07099374508294,-60.73468794635512,-57.66759523834382
15,1613,475,-54.459580140611514,-48.84125834179861,-45.05794646647292,-65.49222250758801,-58.48807926513176,-53.000350649178586
16,1578,421,-53.01510557593662,-49.47610228476943,-44.932363337676435,-54.68848943305679,-77.08728844689618,-51.7513223572773
17,1538,371,-60.86575317106444,-57.28277315288061,-46.91775330774771,-61.830125454037,-56.567868795962006,-52.52411168337367
18,1499,320,-51.069900620506615,-47.49587938022401,-48.24426824399723,-59.09883390117721,-55.341634704964065,-62.44980804241659
19,1460,269,-69.01233234141206,-55.74578212624303,-45.92238295801609,-53.78841410367964,-70.76148543603372,-65.38035759549948
20,1419,219,-54.28660320563296,-46.6234248666175,-45.28769966963977,-54.00472937504859,-56.29917535078196,-67.74148002166403
21,1377,171,-67.07196490237818,-44.03220778611589,-55.09590375451228,-59.175601896800856,-54.803283067035686,-58.80806195941911
22,1322,138,-56.300866856201345,-47.099033474838954,-48.527367981631144,-57.19987970292392,-52.39117061991715,-51.87163859434958
23,1381,162,-65.79630025934082,-52.229576161795,-49.50364949355007,-63.54244898953557,-56.266325244451885,-60.407126999559566
24,1433,200,-55.5658048715531,-45.84959823402868,-50.87560257873708,-56.699940178285686,-58.5005413046061,-58.98523119814142
25,1486,237,-54.72403886688315,-56.81514767774704,-46.21600270617775,-55.66402247108526,-55.65676395699222,-53.151210119684215
26,1533,281,-62.2343211172618,-48.57895789439169,-45.96925925125439,-58.21821668053707,-55.059080505089774,-54.93722571568823
27,1578,327,-55.0474771670209,-49.87892935435279,-51.25984620177327,-60.24563304472538,-60.98492525680625,-58.229271952791095
28,1611,381,-58.99325855276121,-47.0004769334236,-45.55302539849042,-54.635601992767214,-58.881420058239236,-50.4178428065589
29,1629,443,-52.3408858262362,-52.873351496171914,-43.54813298635784,-64.51025406382998,-64.45621568920204,-52.68039767964014
30,1674,489,-54.15784496574037,-49.89728223912128,-47.07602749820195,-61.76486318757536,-61.81205379229583,-52.80464662524069
31,1731,519,-60.73960388263173,-51.00203685727656,-46.16750466139607,-55.51124753651793,-57.84020096106622,-50.585633772134116
32,1784,555,-56.65388342102838,-50.17188353747953,-46.385714251225245,-55.545620186928375,-53.99397180626118,-67.83883179136164
33,1834,595,-54.992533079397475,-53.27481225503043,-59.5210470676579,-52.57732619311389,-54.63186942113494,-56.8027923888456
34,1887,632,-53.598003297870996,-60.71884774697371,-50.372923957907354,-65.78597988920802,-54.980525702599444,-50.98703635018185
35,1831,663,-57.87035537556189,-56.10478027700851,-46.96819361997559,-77.1277855041074,-58.053498408476855,-52.3887273241046
36,1779,701,-59.59207766514119,-56.742375893522535,-47.624014470416746,-65.10664047046423,-53.209366676384775,-49.278457202196364
37,1725,736,-57.61128142370799,-53.43211774773497,-48.340899999478054,-59.385599182327624,-51.88676421637477,-55.59543367348185
38,1672,772,-65.29805365023866,-60.84041782353357,-53.962602696696024,-60.33303547019213,-58.62601395603715,-47.24722267291277
39,1619,809,-53.521674839360074,-58.85609353508304,-50.6076891175272,-59.56718129507961,-58.853041039679226,-48.70803988712292
40,1566,845,-54.62353906976912,-53.835082347854154,-63.809329236004615,-55.03959004319729,-55.35923838599069,-54.499819215654924
41,1526,895,-53.88370717630749,-52.92272205324434,-62.731677294478175,-54.709674742836434,-56.4898961765147,-51.02454661474531
42,1471,929,-74.23082828367357,-60.33579697845461,-51.09395012064873,-57.63714323866572,-50.941941944281986,-53.171050921696434
43,1428,976,-51.77736293449607,-53.308575755305,-53.88019954725522,-60.919417262856726,-52.81036332859863,-53.82940697379327
44,1383,1023,-58.384338414369445,-59.12076049821473,-64.78528270305692,-50.39143020268074,-48.554741175726335,-51.47634653280818
45,1334,1063,-59.92116218827056,-55.05503616288167,-61.040080192123725,-53.75266561958274,-48.574038854103314,-49.092993643531074
46,1278,1096,-59.65272859707667,-53.55112974767466,-55.08394448024953,-57.08704000898003,-53.22229186524966,-49.42333053002592
47,1220,1124,-53.591189818512476,-53.78332743621024,-52.86019453391344,-60.179751636919804,-45.803012045336914,-54.07351089300346
48,1167,1160,-59.872455905028986,-60.51166576927241,-55.07118129888777,-56.998107982661146,-46.33983972394194,-48.163483229882274
49,1110,1189,-55.49856558234172,-59.82214392162325,-56.026017479869125,-53.14568776923973,-46.39982253190071,-52.87966714354195
50,1048,1207,-55.46581052086517,-62.40036316682743,-59.774693635072424,-51.368086034260386,-40.954302802412215,-54.12383682315996
51,984,1211,-57.52286127022171,-61.08322594109687,-53.88306784384908,-57.99783237737954,-44.40515559606006,-53.99737665071933
52,920,1213,-56.50896715582537,-64.32709619873084,-54.34998796164436,-51.126056726297584,-40.3877880733209,-50.979111997408204
53,856,1219,-51.525005667593504,-66.45854726253256,-56.121228932846634,-47.83350494412982,-46.11434585141076,-70.49801142301773
54,793,1210,-55.21195551088121,-59.566583517027716,-56.62292247299285,-50.41204378643922,-47.573926234266494,-62.735992025563704
55,731,1192,-62.37373590520407,-54.10524358471541,-55.87528434594596,-53.895243107175084,-48.770723453743585,-66.71246535575912
56,669,1176,-54.55721751901717,-55.12634152184187,-57.657294630698686,-57.08627167713474,-51.27403054669426,-74.06940185085601
57,606,1160,-57.1972242520437,-59.61731246764431,-53.68951122139955,-52.34477140402966,-46.13011347596796,-70.37539837695137
58,544,1147,-58.31745130787389,-58.793027463029844,-56.39411517494682,-50.98305656357543,-48.6842878010021,-63.32014804761384
59,479,1143,-59.494740011798044,-52.921401991170924,-66.47484316585101,-56.453549253790996,-54.26142506562848,-55.74642488974591
60,415,1141,-64.78525472212358,-59.75132049271781,-61.027308233714606,-47.55447086416818,-51.08020408426313,-53.84061672859054
61,351,1139,-60.491109064581906,-60.72554911720748,-53.18930744934196,-51.85248876216396,-52.145326913061695,-52.96144120172792
62,287,1134,-60.472472824119464,-53.06365259551447,-58.61728719073258,-43.37819038427995,-50.32991237849779,-51.56155432465583
