,ap1,ap2,ap3,ap4,ap5,ap6,x,y
0,-45.80253241577957,-56.31237030047597,-59.74361675084481,-55.06276466814329,-57.924762901285504,-55.990554518506755,245,658
1,-52.844654647369396,-53.23034645534826,-60.26519728310693,-55.78879936757298,-52.92420904331061,-56.65623678521299,1271,512
2,-61.87840124650728,-52.327401642892106,-69.14181376305295,-62.35803789847813,-49.03425221766313,-18.47458646446854,1904,1413
5,-52.82476867071361,-47.6306965735862,-53.29217899894363,-54.4571966158621,-55.70104104224807,-50.74275754136508,646,553
7,-50.31711626850425,-48.127021320845316,-77.33115030522887,-50.246645650567025,-49.182841392849085,-65.81085084067516,822,757
10,-58.50841464323029,-51.084121016319315,-62.46987150914937,-48.44160046473988,-48.29731408310281,-70.39887085321114,752,930
13,-54.24821643071007,-57.98264567792776,-46.15783252424994,-63.26428139684647,-51.16380119436792,-60.80279268820688,1741,367
14,-55.45845125677723,-51.23711948523747,-44.0255388625436,-56.621814824303335,-55.1003679584244,-50.655646017967946,1627,131
15,-65.56405846625235,-40.85247678975949,-48.190468200084055,-54.102321115643505,-57.41154777917086,-51.875964315722754,1168,281
16,-54.04480157004075,-59.543919174478965,-56.33242833398132,-46.3905286830332,-56.874770633018784,-54.23005854672161,9,952
17,-57.809714768768444,-53.58976212621656,-46.478331053494976,-59.854458772815576,-52.61679730323907,-54.61371815157969,1647,513
18,-61.653923863851404,-40.76676392984831,-59.34718313752474,-55.21436517948744,-57.654156127863956,-55.79946286513299,1272,83
19,-57.564326573809836,-59.535047188552696,-52.28039600223839,-71.54401911918976,-49.714257685666595,-54.42404156089324,1063,1032
20,-57.073702825660206,-56.210757556585335,-61.843673434617685,-56.71608956925872,-47.77623421004567,-49.6984352160227,1581,1133
23,-70.32131269641941,-51.27231122513887,-67.49526694913372,-36.469543756015796,-58.208632915841534,-65.15059315553393,6,1489
24,-55.24963385670687,-58.37834740385449,-51.40583942720255,-68.17358287791217,-52.40371324164238,-44.34687204266726,1570,1311
26,-60.418155856326734,-42.768780075757306,-47.22429178508145,-55.33500613666473,-52.91620642992807,-57.169028426995155,1417,11
27,-59.744334580418666,-58.67414235182805,-53.06792072749338,-66.50932311349008,-40.93278034711864,-57.55158352384186,839,1355
28,-55.12063433878683,-50.34391686560318,-56.341065393138095,-53.05020414064246,-55.73432738261228,-60.07321742600857,549,114
29,-54.01806352567395,-50.628608746410606,-57.57374088326706,-84.6117504852228,-55.43585979063087,-62.95297981428561,494,550
30,-64.71878532231214,-57.43898244668447,-63.67017860342581,-36.678650169201894,-54.83162138836808,-55.551936002584334,153,1241
33,-53.82699294970591,-41.79413580375348,-58.64535574459694,-52.919508993678804,-60.148821880604245,-54.440832440037596,830,296
34,-54.13472233112759,-65.5179548389198,-54.4102929981583,-54.65061916167251,-40.53614872439064,-49.88186042897196,1089,1155
35,-57.31872144300355,-49.61805715624065,-36.66566299588151,-60.94983263008538,-60.48430681328445,-74.53244180150314,1749,169
36,-43.19241698437416,-50.47950665860766,-53.5900905581409,-60.16635892139239,-64.59803785214616,-59.74448458784154,286,267
39,-50.85996649063645,-39.75287219780626,-58.03223408169795,-57.69480316372672,-75.29702265586296,-54.439759115699516,782,70
42,-61.641876837291676,-54.46928626524647,-54.738445177220655,-57.32347619961444,-46.56363072397178,-56.75079326331364,1550,1476
43,-63.696839762907786,-57.86464921583874,-56.403235675606695,-54.14665449259489,-49.020824630563155,-68.72873521400268,631,890
44,-59.82979788035634,-44.61746595795992,-57.83544753261809,-61.98602172549714,-55.53576845625259,-55.29133216725783,626,142
45,-58.562562623189514,-54.20022246729377,-57.837088997309046,-47.63719385681843,-59.77647709511851,-55.362719863853755,324,1365
48,-60.59978310648022,-51.07891561751981,-52.327049280376684,-61.259967563815096,-49.355543170019864,-52.19426641044993,810,668
49,-72.57747246310818,-43.70256522931822,-48.360058942298295,-60.54710429463664,-54.109782523440785,-55.474089146403365,1418,8
50,-53.84974979531784,-52.30263519667031,-53.974756186927245,-55.902422426850045,-50.94622484741255,-60.17906359028244,1341,43
51,-48.35628084622176,-56.94138799935686,-55.10441236248079,-56.40264488704956,-56.756657431278754,-55.967952462515164,409,354
52,-51.577142908910936,-53.67522837957814,-56.411536776279625,-42.52652432795525,-46.99020751810604,-62.29794901475461,384,1317
53,-54.63343402125507,-57.12766756062911,-53.60855298079954,-59.974656108812155,-47.97554316682073,-38.963561404319044,1789,1270
54,-54.319746006068215,-46.99008902249132,-50.8204445488939,-54.48714898480738,-57.05315220937631,-51.254733401406405,1355,354
55,-46.57055600056449,-48.018535255533266,-60.80642822943669,-58.20330680139578,-54.03356785985588,-53.05549343134317,552,453
56,-54.95329437540798,-67.97930738846638,-33.108885084448005,-61.643454963737426,-50.969723265530845,-54.35099067306817,1942,55
57,-63.7675521532133,-50.460725772633445,-57.0051697917433,-53.892772096284666,-51.00904428107626,-52.82801993658846,865,862
58,-55.1246565958651,-52.99885697985335,-59.089536103864695,-57.33553142747919,-60.4255832591263,-58.08310866552233,1539,505
59,-56.295240202854096,-55.243267408508146,-48.407945214574625,-56.66671345359214,-62.680672713365595,-50.70570959300329,1985,725
61,-62.68230341753271,-66.29591344665988,-59.10459832403099,-38.64072185754008,-55.320910035507254,-59.508857022248876,77,1258
67,-58.463998444547876,-56.64492548137849,-57.407060356722646,-47.02488118292705,-48.31121022753816,-65.46819536191433,548,1049
68,-55.72876287012332,-53.86783023870143,-60.17831396961368,-44.370532474750405,-50.43766456042073,-54.10233205142639,374,1054
69,-54.453669957433426,-47.02989120878576,-58.544173746288244,-56.79989096646075,-53.837607929056304,-55.76389925782853,1234,516
70,-50.65018501907736,-50.16417046642755,-57.64714643763114,-53.4028516983805,-53.167950217022415,-62.04197679385162,1520,439
73,-55.87140465472615,-55.37792246141521,-52.88681151957519,-60.90853836112706,-51.45244669211954,-49.29468653354661,1364,1154
75,-55.074817771115974,-53.06011466544597,-53.762194109638756,-52.98361647809621,-42.42643089348843,-50.51637160902488,1265,1300
77,-41.196853548620936,-51.50095415280347,-53.72072993835708,-54.83856302446018,-55.31421826021388,-64.08281283423976,314,142
78,-56.18137092634937,-47.85623481078983,-47.80224458343022,-62.26204659783488,-56.27852646886788,-55.436264926843734,1656,150
79,-42.3014549230317,-50.66328606870709,-65.65292770287618,-56.1661292500127,-54.87654249704158,-56.0344673085364,275,108
80,-66.84152610610595,-54.26968159468409,-68.1878856365576,-59.1609594161564,-54.5237546575786,-50.61586386548339,1288,80
81,-56.548403360387894,-52.20031244869035,-63.45770080451253,-67.40070458864535,-53.72010567508497,-25.701381833511892,1914,1370
82,-64.71710665384718,-59.817691375341965,-63.02950087883359,-66.39418314187874,-51.323260452936,-33.501828757751284,1835,1406
84,-52.89806418495901,-48.39530826900621,-49.12272867137734,-53.93175933878127,-55.062909721361144,-48.45374308227857,1625,539
85,-55.015077897599234,-60.957592922633054,-59.92195361454057,-59.07324258686184,-48.578419413270254,-55.617711561655824,1140,1142
88,-51.14582203445379,-40.01330632827343,-52.747996911562026,-56.76635557923522,-63.228464052235765,-54.73935100345828,1060,290
89,-51.70350093377895,-51.92652746365922,-53.9633477729761,-60.805103157854305,-49.38015090922199,-63.74823235640933,771,726
90,-56.476527898818716,-61.21579716428178,-55.070467836481505,-60.398516542693855,-52.958266973738574,-58.993037433441096,744,733
91,-59.147911426917844,-56.68793931054968,-55.62453179427129,-59.95896971513204,-49.501326122949145,-46.172089268684566,1525,1332
94,-51.80970572967902,-42.87202494702239,-53.15548203015625,-50.65513773080369,-60.56222552296269,-61.84914531858179,805,328
95,-57.72679346927088,-60.23410255893171,-57.357737875768684,-52.62788177711747,-46.66553841306133,-55.03242308672397,917,1062
97,-59.25368801494731,-54.068589208814586,-39.71334775394773,-59.87413758769752,-54.44024868281499,-58.050181675238655,1937,287
98,-59.321485355362114,-51.44192558977221,-68.08626040144173,-53.28688113664607,-50.26724349400344,-58.25203124600645,789,761
99,-58.29346314090935,-61.31212600826974,-65.35133981137643,-52.28234744642553,-52.09651541620063,-46.290906547646344,1508,1099
100,-61.76987577469531,-53.088073414422,-58.308063268386746,-56.72627216211615,-49.03698074603973,-26.1240124109557,1891,1369
101,-54.56229756070235,-53.879491718401496,-65.46685951697977,-51.32579597043984,-54.16840989764877,-56.69361863554695,1320,1044
102,-52.953880823926774,-45.12315318916186,-63.6685187215284,-56.61913064807333,-54.47114658963815,-54.94035856978532,742,159
103,-60.08449357920095,-61.37409948350589,-56.80694132319897,-34.1703952782109,-66.6767106909579,-54.38799465595692,79,1324
106,-47.14303629292911,-47.79659879078858,-61.29879931697522,-70.52541638090734,-59.505128539443845,-56.19529249049515,748,298
108,-42.182327970304215,-49.03699455358927,-57.92066391228399,-55.39728586380409,-52.276967964738496,-58.950098587418324,364,66
109,-63.736862060921865,-54.73460268550382,-52.59036031053281,-67.36192973659178,-50.816702045830894,-55.84305666419606,1899,1167
111,-55.47841246120461,-52.47206958995881,-53.973190680307546,-59.72441056105684,-39.7921552137126,-47.1974247839318,1243,1478
112,-58.24471325617524,-51.80510190827161,-50.09695670944058,-54.00186238933264,-57.05319984642528,-59.695517090718866,1367,149
113,-56.64850035803768,-54.69144447127512,-54.882583095366456,-49.28261271351394,-40.402715584316795,-53.56758117458579,753,1472
114,-53.297795646434395,-54.93695252798002,-45.389968725456825,-54.27434206213144,-58.47565930219089,-51.986770977768174,1617,351
115,-53.71978798019342,-49.94478586786787,-57.91583833166423,-53.022173836125816,-52.763334832047796,-58.61438445080832,1235,876
117,-52.917495120822636,-57.49174241215289,-60.09355841993043,-42.14729928273189,-48.392335964849224,-65.52114667580389,353,1314
119,-52.86025658237564,-53.16000385861571,-58.66034968557742,-59.204535054169824,-57.79636483249468,-55.073758233524316,529,1471
121,-53.139532212638045,-54.85963228242721,-61.88609674454834,-27.770024955003503,-56.77180697972755,-57.150058420129355,119,1435
123,-49.30425558340745,-45.92314564544047,-54.65060925390014,-53.514877751147374,-58.69674082088656,-53.686169087815465,785,481
125,-57.8024034232876,-58.48145475526212,-55.97474279334266,-56.47497651033464,-57.43558911634118,-45.37244690517334,1767,1048
126,-59.2178557748364,-53.77105260432689,-46.755017205498426,-57.00270829830046,-56.29651128984659,-50.63184478787345,1737,669
129,-61.50581765803126,-49.55500515315455,-18.091511618110577,-70.06587182412484,-57.59706321224389,-56.672750604435144,1895,88
132,-43.447835235121104,-51.44831182115888,-59.73387077048284,-51.3144451581545,-55.794539617834445,-54.22073401856971,18,517
133,-50.361508925535915,-52.94245546765517,-59.418138804789805,-50.69633687229401,-53.90592674562508,-56.4447449129962,255,762
134,-57.253442390045294,-51.43920633105212,-54.12732388271174,-63.831229162456154,-48.644021159626654,-49.04933130871719,1259,1038
135,-55.36180359184325,-59.572026182288845,-58.89119226317816,-65.52972232466225,-56.47871012253874,-53.64131347483513,1939,566
136,-43.69924916039046,-52.29484243241576,-59.40789114056826,-61.07181875760844,-53.734879376627084,-58.778948235441526,264,341
137,-54.235235201508445,-55.55447124885424,-54.91493656514035,-63.40045497424215,-55.61655923134165,-36.53756164109133,1871,1272
139,-59.66346701701478,-51.887671996659854,-55.341561735248234,-50.10677551022168,-49.001786968537715,-56.00745056402451,816,856
140,-44.57505340249175,-48.0098515616976,-65.77901935869048,-53.613173611975114,-59.467636228473886,-60.1995932492691,375,102
