,x,y,ap1,ap2,ap3,ap4,ap5,ap6,label
1,1734,1246,-54.32778466497773,-56.22854137032605,-53.401453804476034,-52.269783459123154,-56.58593056792321,-44.493920463677384,69.23599999999999
3,1823,1155,-61.38817707745095,-56.74229573288456,-56.75190688164356,-59.474999296766704,-54.06393149404373,-44.3942728738375,65.042
4,1872,1113,-60.71622120635614,-53.48061212522602,-60.47116832576775,-53.83070701392734,-49.04135251764116,-47.44998009025855,63.138
5,1845,1054,-54.67573328430498,-55.34877020035144,-53.18160821125165,-59.18489355359735,-48.3909195915183,-44.812942566517776,60.080000000000005
7,1838,927,-53.80493040296308,-61.08997036533195,-64.88352655700614,-58.87176411938852,-61.23869091032306,-55.50274402031442,53.702
8,1827,863,-59.233122144958244,-59.87789593569502,-49.68176039316778,-54.12176192618894,-54.58835376769792,-52.21431693700055,50.458
10,1788,741,-58.15166211302952,-57.30347345524474,-56.78821732308443,-60.24188789619109,-57.78792656263124,-55.157536284740004,44.202
11,1756,685,-58.049641039683365,-53.26595568004663,-54.80954045611512,-61.19024905564024,-53.88304045239189,-58.99355120872501,41.274
14,1648,529,-59.30844312517056,-51.176662642827694,-50.80470958245438,-58.07099374508294,-60.73468794635512,-57.66759523834382,33.042
15,1613,475,-54.459580140611514,-48.84125834179861,-45.05794646647292,-65.49222250758801,-58.48807926513176,-53.000350649178586,30.201999999999998
18,1499,320,-51.069900620506615,-47.49587938022401,-48.24426824399723,-59.09883390117721,-55.341634704964065,-62.44980804241659,21.996000000000002
22,1322,138,-56.300866856201345,-47.099033474838954,-48.527367981631144,-57.19987970292392,-52.39117061991715,-51.87163859434958,12.188
23,1381,162,-65.79630025934082,-52.229576161795,-49.50364949355007,-63.54244898953557,-56.266325244451885,-60.407126999559566,13.623999999999999
25,1486,237,-54.72403886688315,-56.81514767774704,-46.21600270617775,-55.66402247108526,-55.65676395699222,-53.151210119684215,17.794
