,WAP013,WAP014,WAP023,WAP024,WAP027,WAP028,WAP029,WAP030,WAP031,WAP032,WAP033,WAP034,WAP035,WAP036,WAP039,WAP040,WAP041,WAP042,WAP043,WAP047,WAP048,WAP051,WAP052,WAP057,WAP058,WAP061,WAP062,WAP069,WAP070,WAP074,WAP077,WAP078,WAP081,WAP084,WAP085,WAP087,WAP098,WAP099,WAP132,WAP142,WAP143,WAP155,WAP156,WAP160,WAP161,WAP162,WAP224,WAP225,WAP248,WAP253,WAP268,WAP294,WAP303,WAP323,WAP360,WAP452,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP
4,-79,-79,-83,-78,100,100,-62,-62,100,100,100,100,100,100,100,100,-79,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-79,100,100,100,100,-68,100,-68,100,100,100,100,100,100,-7641.499303368108,4864922.399177806,2,0,0,0,0,2,1380877774
5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,-79,100,100,100,-82,-82,-76,100,100,100,100,100,100,100,100,100,100,-70,100,100,100,-82,100,-82,100,-7338.807210418774,4864825.466862779,2,2,0,0,0,12,1380874853
6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,-90,-90,100,100,-72,-74,-81,100,100,-63,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,-75,100,-7379.351682676892,4864849.201489193,3,2,0,0,0,20,1380874982
7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-88,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,-89,100,-7340.558777131093,4864758.918859969,3,2,0,0,0,21,1380875085
8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-55,-55,100,100,-73,-70,-70,100,-82,-85,-70,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,100,-76,100,-7357.531252906464,4864765.847510792,2,2,0,0,0,12,1380875092
9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-83,-89,100,100,100,100,100,-92,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,-91,100,-7345.0851699093055,4864830.817470278,0,2,0,0,0,20,1380875118
10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-46,-43,100,100,-67,-70,-70,100,-82,100,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,100,-85,100,-7344.182656829503,4864754.248742422,2,2,0,0,0,12,1380875120
11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,-74,-70,-81,100,100,100,-89,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7372.664041475764,4864844.41964526,0,2,0,0,0,20,1380875159
13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-70,-85,100,-79,-85,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,-85,100,-7331.100099999458,4864766.922100003,2,2,0,0,0,12,1380875192
15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-77,100,100,100,-81,-81,100,100,100,100,-79,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,-78,100,-7393.435149921725,4864836.732070441,1,2,0,0,0,4,1380875236
17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-55,-55,-93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,100,-75,100,-7414.450283334279,4864788.464600003,4,2,0,0,0,21,1380875250
18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,-60,-53,-85,-77,-80,100,-90,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7402.404284370662,4864806.403663926,1,2,0,0,0,20,1380875252
19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-75,-88,-87,100,-81,-82,100,100,-84,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,-80,100,-7358.379579473465,4864836.878995135,1,2,0,0,0,4,1380875264
22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,-48,-48,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-94,100,-7410.584705855866,4864793.276005474,4,2,0,0,0,21,1380875301
23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-96,100,-73,-73,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,-84,100,-7394.2263701461125,4864821.056364287,4,2,0,0,0,21,1380875389
26,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-72,-71,100,-89,-88,100,100,100,100,-73,-77,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,-80,100,-7385.478494210823,4864837.6898399135,1,2,0,0,0,20,1380875456
27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,100,-87,-87,100,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7397.033907008754,4864828.821340553,1,2,0,0,0,20,1380875475
28,-86,-86,100,100,100,100,100,-86,100,100,100,100,100,100,-82,-68,-50,-50,100,-77,-77,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,-81,-81,-79,100,100,100,100,100,100,-88,100,100,100,100,100,-7674.785282855772,4864934.1760907415,2,0,0,0,0,2,1380877599
